naziv_usluge;maloprodajna_cijena;poseban_oblik_prodaje;naziv_posebnog_oblika_prodaje;sidrena_cijena
Zamjena kože remena;25.00;NE;;25.00
Zamjena kopče ili metalnog okova;12.00;NE;;12.00
Postavljanje ili zamjena zakovica, očica, drukera i ostalih okova;3.00;NE;;3.00
Popravak ili obnova kožnog proizvoda;18.00;NE;;18.00
Prilagodba postojećeg proizvoda;18.00;NE;;18.00
Rezanje ili krojenje kože;18.00;NE;;18.00
Lasersko rezanje;0.50;NE;;0.50
Stanjivanje kože;18.00;NE;;18.00
Izrada rupa ili perforacija;1.00;NE;;1.00
Izrada kanala za šav;4.00;NE;;4.00
Oblikovanje ili formiranje kože;18.00;NE;;18.00
Izrada kroja ili šablone;18.00;NE;;18.00
Lijepljenje ili spajanje slojeva kože;18.00;NE;;18.00
Izrada ili postavljanje podstave;18.00;NE;;18.00
Izrada gajke ili petlje;6.00;NE;;6.00
Ručno šivanje drška remena;8.00;NE;;8.00
Strojno šivanje drška remena;4.00;NE;;4.00
Ručno šivanje trčećim šavom;32.00;NE;;24.00
Ručno šivanje sedlarskim vezom;45.00;NE;;30.00
Strojno šivanje;10.00;NE;;10.00
Brušenje ili priprema rubova;4.00;NE;;4.00
Zaobljivanje rubova;3.00;NE;;3.00
Izrada ukrasne crte uz rub;3.00;NE;;3.00
Bojanje rubova;8.00;NE;;8.00
Poliranje rubova;6.00;NE;;6.00
Završna obrada ili poliranje rubova voskom;8.00;NE;;8.00
Bojanje kože;18.00;NE;;18.00
Impregnacija ili njega kože;10.00;NE;;10.00
Završna obrada proizvoda;18.00;NE;;18.00
Utiskivanje teksta ili inicijala;0.35;NE;;0.35
Bojanje utisnutog teksta;0.15;NE;;0.15
Lasersko graviranje;0.50;NE;;0.50
Dizajn ili priprema gravure;18.00;NE;;18.00
Graviranje prema gotovoj grafici kupca;5.00;NE;;5.00
Dizajn proizvoda;25.00;NE;;18.00
Izrada prototipa ili razvoj proizvoda;25.00;NE;;18.00
Unikatna izrada po narudžbi;22.00;NE;;18.00
Kožarski ili proizvodni rad po satu;18.00;NE;;18.00
Poklon pakiranje;5.15;NE;;5.15
Kurirska dostava i pakiranje S;8.00;NE;;8.00
Kurirska dostava i pakiranje M;12.00;NE;;12.00
Kurirska dostava i pakiranje L;15.00;NE;;15.00
Kurirska dostava i pakiranje XL;20.00;NE;;20.00
Vlastita dostava proizvoda po kilometru;1.00;NE;;1.00
