naziv;sifra;marka;jedinica_mjere;cijena_za_jedinicu_mjere;maloprodajna_cijena;poseban_oblik_prodaje;naziv_posebnog_oblika_prodaje;sidrena_cijena;barkod;dostupnost
Ručno šivani kožni remen Dravon;REM-DRA-40-CRN-XL;Covart;kom;55.00;55.00;NE;;55.00;COV0000055;DOSTUPNO
Ručno šivani kožni remen Dravon 40;REM-DRA-40;Covart;kom;58.00;58.00;NE;;58.00;COV0000061;DOSTUPNO
Ručno šivani kožni remen Xyrian;REM-XYR-40-TSM-XXL;Covart;kom;75.00;75.00;NE;;75.00;COV0000072;DOSTUPNO
Ručno šivan kožni remen Dravon;REM-DRA-TSM-3XL;Covart;kom;44.31;44.31;DA;Sniženje;56.00;COV0000050;DOSTUPNO
Ručno šivan i ručno opšiven kožni remen Xyrian - Limited;REM-XYR-40-OGR-CRN-XXL;Covart;kom;80.00;80.00;DA;Sniženje;160.00;COV0000049;DOSTUPNO
Ručno šivani kožni remen Dravon;REM-DRA-40-S;Covart;kom;50.00;50.00;NE;;50.00;COV0000056;DOSTUPNO
Ručno šivani kožni remen Zerath 40;REM-ZER-40;Covart;kom;33.68;33.68;DA;Sniženje;50.00;COV0000078;DOSTUPNO
Ručno šivani kožni remen Zerath 40;REM-ZER-40;Covart;kom;28.46;28.46;DA;Sniženje;40.00;COV0000079;DOSTUPNO
Ručno šivani kožni remen Dravon 40;REM-DRA-40-CRN-S;Covart;kom;43.60;43.60;DA;Sniženje;50.00;COV0000063;DOSTUPNO
Kožni remen Kaelis;REM-KAE-40-SME-UNI;Covart;kom;22.50;22.50;DA;Sniženje;30.00;COV0000013;DOSTUPNO
Ručno šivani kožni remen Dravon 40;REM-DRA-40-TSM;Covart;kom;58.00;58.00;NE;;58.00;COV0000064;DOSTUPNO
Ručno šivani kožni remen Dravon 35-1;REM-DRA-35-SME-XL;Covart;kom;50.00;50.00;NE;;50.00;COV0000057;DOSTUPNO
Ručno šivani kožni remen Dravon 35-1;REM-DRA-35-SME-XXL;Covart;kom;50.00;50.00;NE;;50.00;COV0000058;DOSTUPNO
Ručno šivani kožni remen Zerath 35-1;REM-ZER-35-CRN;Covart;kom;34.75;34.75;DA;Sniženje;43.00;COV0000076;DOSTUPNO
Ručno šivani kožni remen Dravon 40-5;REM-DRA-40-SME-XXL;Covart;kom;55.00;55.00;NE;;55.00;COV0000065;DOSTUPNO
Ručno šivani kožni remen Dravon 40-5;REM-DRA-40-SME-L;Covart;kom;55.00;55.00;NE;;55.00;COV0000066;DOSTUPNO
Ručno šivani držač kartica;KRT-LIN;Covart;kom;30.00;30.00;NE;;30.00;COV0000051;DOSTUPNO
Ručno izrađen kožni remen Kaelis 35;REM-KAE-35;Covart;kom;37.00;37.00;NE;;37.00;COV0000037;DOSTUPNO
Ručno rađeni kožni remen Voryn 40;REM-VOR-40-CRN-XXL;Covart;kom;26.00;26.00;NE;;26.00;COV0000045;DOSTUPNO
Ručno rađeni kožni remen Voryn 40;REM-VOR-40-CRN-3XL;Covart;kom;26.00;26.00;NE;;26.00;COV0000044;DOSTUPNO
Ručno rađeni kožni remen Voryn 40;REM-VOR-40-TSM-L;Covart;kom;26.00;26.00;NE;;26.00;COV0000046;DOSTUPNO
Ručno šivani kožni remen Dravon 40;REM-DRA-40-SME;Covart;kom;57.00;57.00;NE;;57.00;COV0000062;DOSTUPNO
Ručno izrađeni kožni remen Black Forge 43 – Skull Force Edition;REM-DRA-43-OGR;Covart;kom;55.00;55.00;NE;;55.00;COV0000039;DOSTUPNO
Ručno šivani kožni remen Zerath 40;REM-ZER-40;Covart;kom;47.00;47.00;NE;;47.00;COV0000077;DOSTUPNO
Ručno šivani kožni remen Dravon 40;REM-DRA-40;Covart;kom;50.00;50.00;NE;;50.00;COV0000060;DOSTUPNO
